AC	Air Canada
ACB	Aurora Cannabis Inc
AEM	Agnico Eagle Mines Limited
AGI	Alamos Gold Inc Cls A
AI	Atrium Mortgage Investment Corp
AIF	Altus Group Limited
AIM	Aimia Inc
AJX	Agjunction Inc
ALC	Algoma Central
ALYA	Alithya Group
APHA	Aphria Inc
AR	Argonaut Gold Inc
ARE	Aecon Group Inc
AT	Acuityads Holdings Inc
ATH	Athabasca Oil Corp
BB	Blackberry Limited
BCE	BCE Inc
BCI	New Look Vision Group Inc
BEPC	Brookfield Renewable Corporation
BHC	Bausch Health Companies Inc
BIPC	Brookfield Infrastructure Corporation
BK	Canadian Banc Corp
BKI	Black Iron Inc
BLX	Boralex Inc
BMO	Bank of Montreal
BR	Big Rock Brewery Inc
BRY	Bri Chem Corp
BTE	Baytex Energy Corp
BTO	B2Gold Corp
CAE	Cae Inc
CCM	Canarc Res J
CCO	Cameco Corp
CDAY	Ceridian Hcm Holdings Inc
CEE	Centamin Plc
CF	Canaccord Genuity Group Inc
CFX	Canfor Pulp Products Inc
CG	Centerra Gold Inc
CHW	Chesswood Group Limited
CIA	Champion Iron Limited
CIGI	Colliers International Group Inc
CIX	CI Financial Corp
CM	Canadian Imperial Bank of Commerce
CMG	Computer Modelling Group Ltd
CNR	Canadian National Railway Co.
COG	Condor Gold Plc
CORP	Exemplar Investment Grade Fund
CP	Canadian Pacific Railway Limited
CPG	Crescent Point Energy Corp
CR	Crew Energy Inc
CRH	CRH Medical Corp
CRON	Cronos Group Inc
CYB	Cymbria Corporation Cl A
DBO	Dbox Technologies Inc
DIV	Diversified Royalty Corp
DOO	Brp Inc
E	Enterprise Group Inc
EDV	Endeavour Mining Corp
EFL	Electrovaya Inc
EFR	Energy Fuels Inc
EFX	Enerflex Ltd
ELD	Eldorado Gold
ELF	E-L Financial
EQX	Equinox Gold Corp
ET	Evertz Technologies Limited
ETG	Entree Resources Ltd
ETX	Etrion Corp
EVT	Economic Investment
FAF	Fire & Flower Holdings Corp.
FC	Firm Capital Mortgage Inv. Corp
FF	First Mining Gold Corp
FM	First Quantum Minerals Ltd
FN	First National Financial Corp
FNV	Franco-Nevada Corp
FT	Fortune Mnrl J
FVL	Freegold Ventures Limited
FXC	Fax Capital Corp
GBT	Bmtc Group Inc
GDL	Goodfellow Inc
GEO	Geodrill Limited
GFL	Gfl Environmental Inc
GH	Gamehost Inc
GIL	Gildan Activewear Inc
GLG	Glg Life Tech Corp
GLO	Global Atomic Corp
GMO	General Moly Inc
GOLD	Goldmining Inc
GTE	Gran Tierra Energy Inc
H	Hydro One Limited
HBM	Hudbay Minerals Inc
HBP	Helix Biopharm
HLF	High Liner
IGLB	IA Clarington Global Bond Fund
IGM	Igm Financial Inc
III	Imperial Metals Corp
IMO	Imperial Oil
IMV	Imv Inc.
IPO	Inplay Oil Corp
ITP	Intertape Polymer
JE	Just Energy Group Inc
K	Kinross Gold Corp
KEY	Keyera Corp
KL	Kirkland Lake Gold Ltd
L	Loblaw CO
LAC	Lithium Americas Corp
LB	Laurentian Bank
LMNL	Liminal Biosciences Inc
LN	Loncor Resources Inc
MAV	Mav Beauty Brands Inc
MCB	Mccoy Global Inc
MFC	Manulife Fin
MG	Magna International Inc
MIC	Genworth MI Canada Inc
MOGO	Mogo Inc
MPC	Madison Pac Cl B
MRC	Morguard Corp
MTL	Mullen Group Ltd
MX	Methanex Corp
NEO	NEO Performance Materials Inc
NEXT	Nextsource Materials Inc
NML	New Millennium Iron Corp
NOA	North American Energy Partners Inc
NPK	Verde Agritech Plc
NTR	Nutrien Ltd
NXE	Nexgen Energy Ltd
OGI	Organigram Holdings Inc
OMI	Orosur Mining Inc
OR	Osisko Gold Royalties Ltd
ORA	Aura Minerals Inc
OTEX	Open Text Corp
OVV	Ovintiv Inc
PBH	Premium Brands Holdings Corp
PD	Precision Drilling Corp
PEY	Peyto Exploration and Dvlpmnt Corp
PG	Premier Gold Mines Ltd
PHO	Photon Control Inc
PKI	Parkland Fuel Corp
PMT	Perpetual Energy Inc
PVG	Pretium Resources Inc
PZA	Pizza Pizza Royalty Corp
RBA	Ritchie Bros Auctioneers Inc
REAL	Real Matters Inc
RFP	Resolute Forest Products Inc
RIV	Canopy Rivers Inc
RY	Royal Bank of Canada
T	Telus Corp
TA	Transalta Corp
TC	Tucows Inc
TD	Toronto-Dominion Bank
TEI	Toscana Energy Income Corp
TMQ	Trilogy Metals Inc
TNP	Transatlantic Petroleum Ltd
TRI	Thomson Reuters Corp
TRP	Tc Energy Corp
TRQ	Turquoise Hill Resources Ltd
TV	Trevali Mining Corp
TXG	Torex Gold Resources Inc
VB	Versabank
VFF	Village Farms International Inc
VGZ	Vista Gold Corp
VMD	Viemed Healthcare Inc
WCN	Waste Connections Inc
WELL	Well Health Technologies Corp
WFC	Wall Financial
WM	Wallbridge Mining Company Ltd
WPM	Wheaton Precious Metals Corp
X	Tmx Group Limited
Y	Yellow Pages Limited
